Team Name,Player Name,Kills,Deaths,Damage Dealt,Damage Taken,SG Hits,SG Shots,SG acc,GL Hits,GL Shots,GL Acc,RL Hits,RL Shots,RL Acc,LG Hits,LG Shots,LG Acc,RG Hits,RG Shots,RG Acc,HMG Hits,HMG Shots,HMG Acc,PG Hits,PG Shots,PG Acc
ANIME BABES,STO1C,7,,3927,4367,4,40,10%,,,,59,78,76%,116,342,34%,5,12,42%,,,,,,,
ANIME BABES,Myq.L,9,,4203,4556,,,,,,,48,67,72%,106,278,38%,10,24,42%,,,,,,,
ANIME BABES,Krypa,15,,5063,4335,,,,,,,13,15,87%,524,1117,47%,13,23,57%,2,43,5%,,,,
ANIME BABES,SWANNIE,,,,,,,,,,,,,,,,,,,,,,,,,,
ANIME BABES,FELLDOH,,,,,,,,,,,,,,,,,,,,,,,,,,
ANIME BABES,RESERVED,2,,3581,4771,4,20,20%,,,,70,115,61%,30,79,38%,4,10,40%,,,,,,,
ANIME BABES,CYBOTRON,,,,,,,,,,,,,,,,,,,,,,,,,,

+BACK,bentley,14,,4840,3829,,,,,,,57,71,80%,196,555,35%,5,21,24%,,,,,,,
+BACK,mb,9,,4781,4490,,,,,,,43,51,84%,149,366,41%,16,18,89%,,,,,,,
+BACK,DJ,,,,,,,,,,,,,,,,,,,,,,,,,,
+BACK,driver8,11,,4056,3986,20,100,20%,0,2,0%,48,75,64%,92,363,25%,6,13,46%,,,,,,,
+BACK,esteem,15,,4630,4060,18,40,45%,0,3,0%,66,100,66%,76,211,36%,5,14,36%,,,,,,,
+BACK,KRINZEN,,,,,,,,,,,,,,,,,,,,,,,,,,
+BACK,BETE,,,,,,,,,,,,,,,,,,,,,,,,,,

