Team Name,Player Name,Kills,Deaths,Damage Dealt,Damage Taken,SG Hits,SG Shots,SG acc,GL Hits,GL Shots,GL Acc,RL Hits,RL Shots,RL Acc,LG Hits,LG Shots,LG Acc,RG Hits,RG Shots,RG Acc,HMG Hits,HMG Shots,HMG Acc,PG Hits,PG Shots,PG Acc
ANIME BABES,STO1C,,,,,,,,,,,,,,,,,,,,,,,,,,
ANIME BABES,Myq.L,13,,5641,5196,14,80,18%,,,,61,107,57%,238,535,44%,10,25,40%,,,,,,,
ANIME BABES,KRYPA,,,,,,,,,,,,,,,,,,,,,,,,,,
ANIME BABES,Swannie,24,,6581,5077,,,,,,,65,106,61%,214,475,45%,23,44,52%,,,,,,,
ANIME BABES,FELLDOH,,,,,,,,,,,,,,,,,,,,,,,,,,
ANIME BABES,RESERVED,9,,4942,5301,3,80,4%,0,7,0%,94,179,53%,14,57,25%,8,17,47%,,,,,,,
ANIME BABES,CYBOTRON,9,,4957,5429,11,60,18%,0,1,0%,82,113,73%,92,335,27%,4,10,40%,,,,,,,

+BACK,bentley,11,,5254,4767,26,120,22%,,,,46,98,47%,354,777,46%,10,23,43%,,,,,,,
+BACK,mb,6,,4383,5323,,,,,,,63,99,64%,147,289,51%,8,19,42%,,,,,,,
+BACK,DJ,,,,,,,,,,,,,,,,,,,,,,,,,,
+BACK,DRIVER8,,,,,,,,,,,,,,,,,,,,,,,,,,
+BACK,esteem,24,,7171,5401,46,160,29%,0,13,0%,95,174,55%,259,727,36%,8,24,33%,,,,0,3,0%,
+BACK,Krinzen,12,,5239,5438,,,,0,1,0%,80,142,56%,180,556,32%,6,12,50%,,,,,,,
+BACK,BETE,,,,,,,,,,,,,,,,,,,,,,,,,,

