Team Name,Player Name,Kills,Deaths,Damage Dealt,Damage Taken,SG Hits,SG Shots,SG acc,GL Hits,GL Shots,GL Acc,RL Hits,RL Shots,RL Acc,LG Hits,LG Shots,LG Acc,RG Hits,RG Shots,RG Acc,HMG Hits,HMG Shots,HMG Acc,PG Hits,PG Shots,PG Acc
ANIME BABES,STO1C,6,,3781,4556,,,,,,,49,87,56%,259,628,41%,4,10,40%,,,,,,,
ANIME BABES,Myq.L,19,,5629,4104,13,40,32%,0,13,0%,53,104,51%,244,719,34%,14,26,54%,,,,,,,
ANIME BABES,KRYPA,,,,,,,,,,,,,,,,,,,,,,,,,,
ANIME BABES,Swannie,13,,5276,4366,6,60,10%,0,3,0%,81,116,70%,137,341,40%,5,8,62%,,,,,,,
ANIME BABES,FELLDOH,,,,,,,,,,,,,,,,,,,,,,,,,,
ANIME BABES,RESERVED,10,,5179,4720,,,,0,12,0%,74,130,57%,107,315,34%,6,14,43%,,,,,,,
ANIME BABES,CYBOTRON,,,,,,,,,,,,,,,,,,,,,,,,,,

+BACK,bentley,12,,4917,4563,2,60,3%,,,,57,97,59%,194,502,39%,8,13,62%,,,,,,,
+BACK,MB,,,,,,,,,,,,,,,,,,,,,,,,,,
+BACK,DJ,,,,,,,,,,,,,,,,,,,,,,,,,,
+BACK,driver8,12,,5130,4300,9,20,45%,,,,59,107,55%,253,713,35%,2,7,29%,,,,,,,
+BACK,esteem,8,,3884,4791,7,60,12%,,,,68,101,67%,92,225,41%,0,4,0%,,,,0,2,0%,
+BACK,Krinzen,7,,4606,4811,,,,,,,73,128,57%,99,361,27%,4,9,44%,,,,,,,
+BACK,BETE,,,,,,,,,,,,,,,,,,,,,,,,,,

