Team Name,Player Name,Kills,Deaths,Damage Dealt,Damage Taken,SG Hits,SG Shots,SG acc,GL Hits,GL Shots,GL Acc,RL Hits,RL Shots,RL Acc,LG Hits,LG Shots,LG Acc,RG Hits,RG Shots,RG Acc,HMG Hits,HMG Shots,HMG Acc,PG Hits,PG Shots,PG Acc
ANIME BABES,STO1C,,,,,,,,,,,,,,,,,,,,,,,,,,
ANIME BABES,Myq.L,8,,4247,4100,2,20,10%,,,,41,49,84%,214,518,41%,9,24,38%,,,,,,,
ANIME BABES,Krypa,13,,4649,4130,,,,,,,16,17,94%,544,1270,43%,7,13,54%,,,,,,,
ANIME BABES,Swannie,13,,4907,3976,,,,,,,58,69,84%,191,466,41%,9,11,82%,,,,,,,
ANIME BABES,Felldoh,13,,4181,3618,,,,,,,22,29,76%,510,1180,43%,3,6,50%,,,,,,,
ANIME BABES,RESERVED,,,,,,,,,,,,,,,,,,,,,,,,,,
ANIME BABES,CYBOTRON,,,,,,,,,,,,,,,,,,,,,,,,,,

+BACK,bentley,7,,3451,4314,14,40,35%,,,,22,28,79%,365,977,37%,1,3,33%,,,,,,,
+BACK,mb,7,,4211,4294,,,,,,,41,52,79%,280,644,43%,5,9,56%,,,,,,,
+BACK,dj,11,,4192,4118,,,,,,,31,38,82%,362,885,41%,7,9,78%,,,,,,,
+BACK,DRIVER8,,,,,,,,,,,,,,,,,,,,,,,,,,
+BACK,ESTEEM,,,,,,,,,,,,,,,,,,,,,,,,,,
+BACK,Krinzen,9,,4205,4371,5,20,25%,,,,41,49,84%,322,815,40%,4,7,57%,,,,,,,
+BACK,BETE,,,,,,,,,,,,,,,,,,,,,,,,,,

