Team Name,Player Name,Kills,Deaths,Damage Dealt,Damage Taken,SG Hits,SG Shots,SG acc,GL Hits,GL Shots,GL Acc,RL Hits,RL Shots,RL Acc,LG Hits,LG Shots,LG Acc,RG Hits,RG Shots,RG Acc,HMG Hits,HMG Shots,HMG Acc,PG Hits,PG Shots,PG Acc
ANIME BABES,STO1C,,,,,,,,,,,,,,,,,,,,,,,,,,
ANIME BABES,Myq.L,11,,4106,4107,7,40,18%,,,,26,38,68%,306,816,38%,13,33,39%,,,,,,,
ANIME BABES,Krypa,11,,4294,3786,,,,,,,10,18,56%,547,1409,39%,4,15,27%,,,,,,,
ANIME BABES,Swannie,14,,4746,3949,7,20,35%,0,2,0%,35,46,76%,379,878,43%,8,16,50%,,,,,,,
ANIME BABES,Felldoh,15,,4828,4081,,,,0,1,0%,8,12,67%,647,1672,39%,8,8,100%,,,,,,,
ANIME BABES,RESERVED,,,,,,,,,,,,,,,,,,,,,,,,,,
ANIME BABES,CYBOTRON,,,,,,,,,,,,,,,,,,,,,,,,,,

+BACK,BENTLEY,,,,,,,,,,,,,,,,,,,,,,,,,,
+BACK,mb,13,,4201,4281,6,80,8%,0,1,0%,21,31,68%,390,1053,37%,10,22,45%,,,,,,,
+BACK,dj,8,,4528,4340,,,,,,,38,52,73%,356,873,41%,6,11,55%,,,,,,,
+BACK,driver8,5,,3877,4438,13,80,16%,,,,12,16,75%,526,1479,36%,0,8,0%,,,,,,,
+BACK,ESTEEM,,,,,,,,,,,,,,,,,,,,,,,,,,
+BACK,Krinzen,10,,4033,4180,11,40,28%,,,,22,30,73%,503,1281,39%,,,,,,,,,,
+BACK,BETE,,,,,,,,,,,,,,,,,,,,,,,,,,

