Team Name,Player Name,Kills,Deaths,Damage Dealt,Damage Taken,SG Hits,SG Shots,SG acc,GL Hits,GL Shots,GL Acc,RL Hits,RL Shots,RL Acc,LG Hits,LG Shots,LG Acc,RG Hits,RG Shots,RG Acc,HMG Hits,HMG Shots,HMG Acc,PG Hits,PG Shots,PG Acc
ANIME BABES,STO1C,,,,,,,,,,,,,,,,,,,,,,,,,,
ANIME BABES,Myq.L,18,,5931,4463,5,40,12%,,,,46,116,40%,375,836,45%,18,39,46%,,,,,,,
ANIME BABES,Krypa,10,,4591,4877,,,,,,,35,48,73%,314,849,37%,10,32,31%,2,32,6%,1,23,4%,
ANIME BABES,Swannie,19,,6381,4538,17,80,21%,0,2,0%,72,103,70%,137,416,33%,16,27,59%,,,,,,,
ANIME BABES,FELLDOH,,,,,,,,,,,,,,,,,,,,,,,,,,
ANIME BABES,RESERVED,,,,,,,,,,,,,,,,,,,,,,,,,,
ANIME BABES,CYBOTRON,7,,3619,4889,6,40,15%,,,,32,50,64%,372,959,39%,0,3,0%,,,,,,,

+BACK,BENTLEY,,,,,,,,,,,,,,,,,,,,,,,,,,
+BACK,mb,14,,5665,4804,,,,0,1,0%,58,110,53%,262,671,39%,10,23,43%,0,4,0%,,,,
+BACK,dj,11,,4725,4687,0,20,0%,0,1,0%,36,79,46%,397,929,43%,6,18,33%,,,,,,,
+BACK,driver8,12,,4881,4891,,,,0,5,0%,58,99,59%,153,559,27%,11,30,37%,,,,,,,
+BACK,esteem,8,,4334,5052,1,40,2%,0,3,0%,60,104,58%,161,423,38%,5,24,21%,,,,0,18,0%,
+BACK,KRINZEN,,,,,,,,,,,,,,,,,,,,,,,,,,
+BACK,BETE,,,,,,,,,,,,,,,,,,,,,,,,,,

