Team Name,Player Name,Kills,Deaths,Damage Dealt,Damage Taken,SG Hits,SG Shots,SG acc,GL Hits,GL Shots,GL Acc,RL Hits,RL Shots,RL Acc,LG Hits,LG Shots,LG Acc,RG Hits,RG Shots,RG Acc,HMG Hits,HMG Shots,HMG Acc,PG Hits,PG Shots,PG Acc
OPEN MOUTH GAYMERS,namastex,13,,5464,5216,0,60,0%,1,23,4%,64,99,65%,228,602,38%,7,22,32%,0,32,0%,,,,
OPEN MOUTH GAYMERS,72826,,,,,,,,,,,,,,,,,,,,,,,,,,
OPEN MOUTH GAYMERS,devious,14,,4701,5036,13,80,16%,1,10,10%,74,126,59%,68,221,31%,7,14,50%,,,,,,,
OPEN MOUTH GAYMERS,lexcs,21,,6371,4795,,,,0,2,0%,39,52,75%,357,787,45%,21,40,52%,,,,,,,
OPEN MOUTH GAYMERS,fourtet,9,,5482,5202,0,20,0%,0,12,0%,64,106,60%,82,212,39%,15,23,65%,,,,,,,
OPEN MOUTH GAYMERS,JOE,,,,,,,,,,,,,,,,,,,,,,,,,,
OPEN MOUTH GAYMERS,16B,,,,,,,,,,,,,,,,,,,,,,,,,,

THE COZY RANCH,cows,13,,5572,5219,,,,,,,59,97,61%,238,641,37%,14,30,47%,,,,,,,
THE COZY RANCH,raul,14,,5675,5511,,,,0,5,0%,66,97,68%,162,364,45%,17,37,46%,,,,,,,
THE COZY RANCH,psygib,9,,5033,5277,14,60,23%,0,1,0%,64,109,59%,180,466,39%,3,13,23%,,,,11,68,16%,
THE COZY RANCH,ZOMBIE,,,,,,,,,,,,,,,,,,,,,,,,,,
THE COZY RANCH,CXT,,,,,,,,,,,,,,,,,,,,,,,,,,
THE COZY RANCH,apt,11,,4503,5313,,,,,,,24,30,80%,488,1179,41%,3,13,23%,,,,,,,
THE COZY RANCH,JEAN,,,,,,,,,,,,,,,,,,,,,,,,,,

