Team Name,Player Name,Kills,Deaths,Damage Dealt,Damage Taken,SG Hits,SG Shots,SG acc,GL Hits,GL Shots,GL Acc,RL Hits,RL Shots,RL Acc,LG Hits,LG Shots,LG Acc,RG Hits,RG Shots,RG Acc,HMG Hits,HMG Shots,HMG Acc,PG Hits,PG Shots,PG Acc
OPEN MOUTH GAYMERS,NAMASTEX,,,,,,,,,,,,,,,,,,,,,,,,,,
OPEN MOUTH GAYMERS,72826,11,,3260,2788,21,80,26%,0,2,0%,40,66,61%,112,303,37%,1,4,25%,4,21,19%,,,,
OPEN MOUTH GAYMERS,devious,12,,3625,2835,10,40,25%,0,5,0%,49,76,64%,84,206,41%,2,2,100%,,,,,,,
OPEN MOUTH GAYMERS,LEXCS,,,,,,,,,,,,,,,,,,,,,,,,,,
OPEN MOUTH GAYMERS,fourtet,9,,3727,2539,0,20,0%,,,,47,63,75%,102,226,45%,4,10,40%,,,,,,,
OPEN MOUTH GAYMERS,Joe,8,,3215,2878,11,20,55%,,,,35,53,66%,89,228,39%,8,14,57%,,,,,,,
OPEN MOUTH GAYMERS,16B,,,,,,,,,,,,,,,,,,,,,,,,,,

THE COZY RANCH,COWS,,,,,,,,,,,,,,,,,,,,,,,,,,
THE COZY RANCH,raul,3,,2932,3271,,,,,,,31,60,52%,61,145,42%,11,18,61%,,,,,,,
THE COZY RANCH,psygib,6,,3142,3088,4,20,20%,0,1,0%,41,64,64%,118,294,40%,5,5,100%,,,,,,,
THE COZY RANCH,zombie,5,,3151,3286,2,20,10%,0,1,0%,53,77,69%,17,41,41%,5,6,83%,,,,,,,
THE COZY RANCH,CXT,,,,,,,,,,,,,,,,,,,,,,,,,,
THE COZY RANCH,APT,,,,,,,,,,,,,,,,,,,,,,,,,,
THE COZY RANCH,jean,4,,2215,3276,,,,,,,33,51,65%,83,196,42%,3,4,75%,,,,,,,

