Team Name,Player Name,Kills,Deaths,Damage Dealt,Damage Taken,SG Hits,SG Shots,SG acc,GL Hits,GL Shots,GL Acc,RL Hits,RL Shots,RL Acc,LG Hits,LG Shots,LG Acc,RG Hits,RG Shots,RG Acc,HMG Hits,HMG Shots,HMG Acc,PG Hits,PG Shots,PG Acc
OPEN MOUTH GAYMERS,namastex,14,,5529,5141,14,60,23%,3,19,16%,54,156,35%,201,542,37%,18,35,51%,,,,,,,
OPEN MOUTH GAYMERS,72826,26,,6248,5247,81,280,29%,0,4,0%,81,135,60%,162,432,38%,2,12,17%,5,5,100%,,,,
OPEN MOUTH GAYMERS,devious,11,,5705,5169,4,40,10%,0,44,0%,103,156,66%,87,218,40%,4,5,80%,,,,,,,
OPEN MOUTH GAYMERS,LEXCS,,,,,,,,,,,,,,,,,,,,,,,,,,
OPEN MOUTH GAYMERS,FOURTET,,,,,,,,,,,,,,,,,,,,,,,,,,
OPEN MOUTH GAYMERS,Joe,6,,4875,5575,24,40,60%,,,,75,97,77%,125,331,38%,6,16,38%,,,,,,,
OPEN MOUTH GAYMERS,16B,,,,,,,,,,,,,,,,,,,,,,,,,,

THE COZY RANCH,COWS,,,,,,,,,,,,,,,,,,,,,,,,,,
THE COZY RANCH,raul,18,,6671,5425,24,180,13%,0,1,0%,92,145,63%,164,447,37%,4,16,25%,,,,,,,
THE COZY RANCH,psygib,12,,5265,5181,15,100,15%,0,3,0%,77,142,54%,155,451,34%,11,29,38%,,,,11,59,19%,
THE COZY RANCH,zombie,10,,5114,5170,5,40,12%,0,1,0%,91,155,59%,51,161,32%,6,12,50%,,,,,,,
THE COZY RANCH,CXT,,,,,,,,,,,,,,,,,,,,,,,,,,
THE COZY RANCH,apt,12,,5357,5524,6,40,15%,,,,51,92,55%,345,871,40%,6,13,46%,0,42,0%,,,,
THE COZY RANCH,JEAN,,,,,,,,,,,,,,,,,,,,,,,,,,

