Team Name,Player Name,Kills,Deaths,Damage Dealt,Damage Taken,SG Hits,SG Shots,SG acc,GL Hits,GL Shots,GL Acc,RL Hits,RL Shots,RL Acc,LG Hits,LG Shots,LG Acc,RG Hits,RG Shots,RG Acc,HMG Hits,HMG Shots,HMG Acc,PG Hits,PG Shots,PG Acc
OPEN MOUTH GAYMERS,namastex,13,,5468,4930,0,20,0%,,,,22,28,79%,660,1639,40%,3,13,23%,2,14,14%,,,,
OPEN MOUTH GAYMERS,72826,13,,4841,4906,,,,,,,11,17,65%,606,1512,40%,4,6,67%,48,128,38%,,,,
OPEN MOUTH GAYMERS,devious,16,,5448,5022,8,60,13%,,,,69,83,83%,227,636,36%,5,11,45%,,,,,,,
OPEN MOUTH GAYMERS,lexcs,12,,5356,4938,4,40,10%,,,,24,29,83%,473,1037,46%,14,22,64%,,,,,,,
OPEN MOUTH GAYMERS,FOURTET,,,,,,,,,,,,,,,,,,,,,,,,,,
OPEN MOUTH GAYMERS,JOE,,,,,,,,,,,,,,,,,,,,,,,,,,
OPEN MOUTH GAYMERS,16B,,,,,,,,,,,,,,,,,,,,,,,,,,

THE COZY RANCH,cows,12,,5770,4672,,,,,,,7,10,70%,757,1786,42%,12,17,71%,,,,,,,
THE COZY RANCH,raul,15,,5104,5016,3,20,15%,,,,17,24,71%,597,1351,44%,7,14,50%,,,,,,,
THE COZY RANCH,psygib,8,,4454,5102,6,20,30%,,,,37,44,84%,364,902,40%,6,13,46%,,,,10,36,28%,
THE COZY RANCH,ZOMBIE,,,,,,,,,,,,,,,,,,,,,,,,,,
THE COZY RANCH,CXT,,,,,,,,,,,,,,,,,,,,,,,,,,
THE COZY RANCH,apt,14,,5429,5228,,,,,,,4,8,50%,738,1754,42%,10,18,56%,,,,,,,
THE COZY RANCH,JEAN,,,,,,,,,,,,,,,,,,,,,,,,,,

