Team Name,Player Name,Kills,Deaths,Damage Dealt,Damage Taken,SG Hits,SG Shots,SG acc,GL Hits,GL Shots,GL Acc,RL Hits,RL Shots,RL Acc,LG Hits,LG Shots,LG Acc,RG Hits,RG Shots,RG Acc,HMG Hits,HMG Shots,HMG Acc,PG Hits,PG Shots,PG Acc
OPEN MOUTH GAYMERS,namastex,17,,6287,5009,,,,0,1,0%,28,46,61%,618,1510,41%,18,30,60%,,,,,,,
OPEN MOUTH GAYMERS,72826,17,,6152,4756,2,20,10%,,,,29,47,62%,657,1529,43%,7,11,64%,2,5,40%,,,,
OPEN MOUTH GAYMERS,devious,14,,5337,5089,52,180,29%,0,3,0%,80,115,70%,150,374,40%,2,7,29%,,,,,,,
OPEN MOUTH GAYMERS,lexcs,13,,5149,5018,,,,,,,29,33,88%,472,1102,43%,9,26,35%,,,,,,,
OPEN MOUTH GAYMERS,FOURTET,,,,,,,,,,,,,,,,,,,,,,,,,,
OPEN MOUTH GAYMERS,JOE,,,,,,,,,,,,,,,,,,,,,,,,,,
OPEN MOUTH GAYMERS,16B,,,,,,,,,,,,,,,,,,,,,,,,,,

THE COZY RANCH,cows,14,,6129,5337,17,120,14%,,,,13,17,76%,775,1911,41%,9,15,60%,,,,,,,
THE COZY RANCH,raul,13,,5530,5446,16,120,13%,,,,59,79,75%,323,868,37%,4,12,33%,,,,,,,
THE COZY RANCH,psygib,8,,4399,5465,35,100,35%,0,1,0%,27,37,73%,476,1338,36%,2,5,40%,,,,5,54,9%,
THE COZY RANCH,ZOMBIE,,,,,,,,,,,,,,,,,,,,,,,,,,
THE COZY RANCH,cxt,10,,4777,5500,9,60,15%,,,,69,89,78%,204,630,32%,4,10,40%,,,,,,,
THE COZY RANCH,APT,,,,,,,,,,,,,,,,,,,,,,,,,,
THE COZY RANCH,JEAN,,,,,,,,,,,,,,,,,,,,,,,,,,

