Team Name,Player Name,Kills,Deaths,Damage Dealt,Damage Taken,SG Hits,SG Shots,SG acc,GL Hits,GL Shots,GL Acc,RL Hits,RL Shots,RL Acc,LG Hits,LG Shots,LG Acc,RG Hits,RG Shots,RG Acc,HMG Hits,HMG Shots,HMG Acc,PG Hits,PG Shots,PG Acc
OPEN MOUTH GAYMERS,namastex,9,,4291,3849,,,,0,1,0%,42,77,55%,213,487,44%,9,28,32%,,,,,,,
OPEN MOUTH GAYMERS,72826,17,,4729,3709,10,80,12%,2,5,40%,48,91,53%,261,553,47%,1,3,33%,,,,,,,
OPEN MOUTH GAYMERS,DEVIOUS,,,,,,,,,,,,,,,,,,,,,,,,,,
OPEN MOUTH GAYMERS,lexcs,10,,3463,3799,14,100,14%,,,,28,46,61%,151,295,51%,16,26,62%,,,,,,,
OPEN MOUTH GAYMERS,fourtet,12,,4388,3403,9,80,11%,0,6,0%,61,92,66%,153,351,44%,4,10,40%,,,,,,,
OPEN MOUTH GAYMERS,JOE,,,,,,,,,,,,,,,,,,,,,,,,,,
OPEN MOUTH GAYMERS,16B,,,,,,,,,,,,,,,,,,,,,,,,,,

THE COZY RANCH,cows,4,,3184,4121,,,,,,,35,48,73%,190,499,38%,4,8,50%,,,,,,,
THE COZY RANCH,raul,11,,4771,3866,12,80,15%,0,2,0%,52,90,58%,67,149,45%,18,41,44%,,,,,,,
THE COZY RANCH,psygib,11,,4444,4010,14,60,23%,0,1,0%,65,119,55%,106,227,47%,8,13,62%,,,,4,34,12%,
THE COZY RANCH,ZOMBIE,,,,,,,,,,,,,,,,,,,,,,,,,,
THE COZY RANCH,CXT,,,,,,,,,,,,,,,,,,,,,,,,,,
THE COZY RANCH,apt,4,,3294,3998,,,,,,,1,4,25%,485,1193,41%,4,6,67%,,,,,,,
THE COZY RANCH,JEAN,,,,,,,,,,,,,,,,,,,,,,,,,,

