Team Name,Player Name,Kills,Deaths,Damage Dealt,Damage Taken,SG Hits,SG Shots,SG acc,GL Hits,GL Shots,GL Acc,RL Hits,RL Shots,RL Acc,LG Hits,LG Shots,LG Acc,RG Hits,RG Shots,RG Acc,HMG Hits,HMG Shots,HMG Acc,PG Hits,PG Shots,PG Acc
THE COZY RANCH,Charles,3,,3317,3901,11,40,28%,,,,10,19,53%,432,998,43%,3,7,43%,,,,,,,
THE COZY RANCH,COWS,,,,,,,,,,,,,,,,,,,,,,,,,,
THE COZY RANCH,raul,14,,4949,4616,8,40,20%,,,,58,71,82%,77,187,41%,15,23,65%,,,,,,,
THE COZY RANCH,psygib,9,,4500,4185,,,,1,5,20%,59,81,73%,143,389,37%,3,11,27%,,,,,,,
THE COZY RANCH,ZOMBIE,,,,,,,,,,,,,,,,,,,,,,,,,,
THE COZY RANCH,cxt,3,,3296,4252,,,,,,,59,88,67%,71,229,31%,0,3,0%,,,,,,,
THE COZY RANCH,APT,,,,,,,,,,,,,,,,,,,,,,,,,,
THE COZY RANCH,JEAN,,,,,,,,,,,,,,,,,,,,,,,,,,

+BACK,bentley,14,,4560,3807,1,20,5%,,,,60,82,73%,90,322,28%,9,15,60%,,,,,,,
+BACK,mb,12,,4729,3747,0,20,0%,0,3,0%,2,4,50%,736,1413,52%,4,13,31%,,,,,,,
+BACK,dj,16,,4876,3813,5,20,25%,0,3,0%,46,58,79%,230,605,38%,12,20,60%,,,,,,,
+BACK,driver8,4,,3531,4369,,,,3,5,60%,43,66,65%,97,336,29%,2,7,29%,,,,,,,
+BACK,ESTEEM,,,,,,,,,,,,,,,,,,,,,,,,,,
+BACK,KRINZEN,,,,,,,,,,,,,,,,,,,,,,,,,,
+BACK,BETE,,,,,,,,,,,,,,,,,,,,,,,,,,

