Team Name,Player Name,Kills,Deaths,Damage Dealt,Damage Taken,SG Hits,SG Shots,SG acc,GL Hits,GL Shots,GL Acc,RL Hits,RL Shots,RL Acc,LG Hits,LG Shots,LG Acc,RG Hits,RG Shots,RG Acc,HMG Hits,HMG Shots,HMG Acc,PG Hits,PG Shots,PG Acc
THE COZY RANCH,cows,8,,4718,5482,1,40,2%,0,1,0%,23,45,51%,509,1152,44%,9,20,45%,,,,0,2,0%,
THE COZY RANCH,raul,22,,7142,5151,29,140,21%,0,6,0%,81,151,54%,123,344,36%,19,31,61%,,,,,,,
THE COZY RANCH,psygib,17,,6412,5050,6,40,15%,0,2,0%,60,123,49%,400,975,41%,5,15,33%,,,,5,26,19%,
THE COZY RANCH,zombie,9,,4662,5116,5,40,12%,0,1,0%,72,123,59%,90,248,36%,3,11,27%,,,,,,,
THE COZY RANCH,CXT,,,,,,,,,,,,,,,,,,,,,,,,,,
THE COZY RANCH,APT,,,,,,,,,,,,,,,,,,,,,,,,,,
THE COZY RANCH,JEAN,,,,,,,,,,,,,,,,,,,,,,,,,,

+BACK,bentley,8,,4935,5465,9,20,45%,,,,62,118,53%,97,234,41%,11,24,46%,,,,,,,
+BACK,mb,17,,5968,5444,,,,,,,43,108,40%,374,927,40%,16,29,55%,,,,,,,
+BACK,dj,15,,5716,5177,7,20,35%,2,7,29%,65,111,59%,242,634,38%,8,18,44%,,,,,,,
+BACK,DRIVER8,,,,,,,,,,,,,,,,,,,,,,,,,,
+BACK,ESTEEM,,,,,,,,,,,,,,,,,,,,,,,,,,
+BACK,Krinzen,7,,5397,5614,5,20,25%,,,,73,114,64%,173,428,40%,9,21,43%,,,,,,,
+BACK,BETE,,,,,,,,,,,,,,,,,,,,,,,,,,

