Team Name,Player Name,Kills,Deaths,Damage Dealt,Damage Taken,SG Hits,SG Shots,SG acc,GL Hits,GL Shots,GL Acc,RL Hits,RL Shots,RL Acc,LG Hits,LG Shots,LG Acc,RG Hits,RG Shots,RG Acc,HMG Hits,HMG Shots,HMG Acc,PG Hits,PG Shots,PG Acc
THE COZY RANCH,COWS,,,,,,,,,,,,,,,,,,,,,,,,,,
THE COZY RANCH,raul,21,,6433,5103,0,20,0%,1,35,3%,53,116,46%,385,875,44%,21,34,62%,,,,,,,
THE COZY RANCH,psygib,13,,6254,5080,19,40,48%,1,18,6%,49,92,53%,412,941,44%,10,24,42%,,,,19,72,26%,
THE COZY RANCH,zombie,10,,4542,5081,3,20,15%,1,9,11%,55,101,54%,208,531,39%,5,13,38%,,,,,,,
THE COZY RANCH,CXT,,,,,,,,,,,,,,,,,,,,,,,,,,
THE COZY RANCH,apt,11,,4338,5272,16,20,80%,,,,6,18,33%,416,1187,35%,14,31,45%,,,,13,45,29%,
THE COZY RANCH,JEAN,,,,,,,,,,,,,,,,,,,,,,,,,,

+BACK,bentley,12,,5004,5340,2,20,10%,0,1,0%,57,99,58%,298,862,35%,7,18,39%,,,,,,,
+BACK,mb,7,,5154,5253,9,20,45%,1,7,14%,37,65,57%,408,985,41%,9,18,50%,,,,,,,
+BACK,dj,15,,6206,5390,,,,3,10,30%,60,115,52%,189,557,34%,17,37,46%,,,,,,,
+BACK,driver8,14,,5007,4988,19,120,16%,4,15,27%,54,95,57%,196,739,27%,11,17,65%,,,,,,,
+BACK,ESTEEM,,,,,,,,,,,,,,,,,,,,,,,,,,
+BACK,KRINZEN,,,,,,,,,,,,,,,,,,,,,,,,,,
+BACK,BETE,,,,,,,,,,,,,,,,,,,,,,,,,,

