Team Name,Player Name,Kills,Deaths,Damage Dealt,Damage Taken,SG Hits,SG Shots,SG acc,GL Hits,GL Shots,GL Acc,RL Hits,RL Shots,RL Acc,LG Hits,LG Shots,LG Acc,RG Hits,RG Shots,RG Acc,HMG Hits,HMG Shots,HMG Acc,PG Hits,PG Shots,PG Acc
THE COZY RANCH,cows,11,,4429,4635,2,20,10%,0,5,0%,54,103,52%,140,358,39%,12,20,60%,,,,,,,
THE COZY RANCH,raul,21,,6054,4405,4,20,20%,1,7,14%,77,109,71%,132,256,52%,16,25,64%,,,,,,,
THE COZY RANCH,psygib,3,,4878,4935,5,20,25%,0,1,0%,61,110,55%,212,510,42%,5,15,33%,,,,8,43,19%,
THE COZY RANCH,ZOMBIE,,,,,,,,,,,,,,,,,,,,,,,,,,
THE COZY RANCH,CXT,,,,,,,,,,,,,,,,,,,,,,,,,,
THE COZY RANCH,apt,11,,4102,4639,20,40,50%,,,,30,43,70%,372,928,40%,5,9,56%,0,1,0%,,,,
THE COZY RANCH,JEAN,,,,,,,,,,,,,,,,,,,,,,,,,,

+BACK,bentley,12,,5114,4607,12,60,20%,,,,81,122,66%,117,317,37%,4,14,29%,,,,,,,
+BACK,mb,12,,4984,4506,,,,,,,64,94,68%,184,434,42%,7,11,64%,,,,,,,
+BACK,dj,17,,5001,4375,,,,0,9,0%,71,144,49%,125,305,41%,11,24,46%,,,,,,,
+BACK,driver8,5,,4691,4878,2,20,10%,,,,70,90,78%,95,361,26%,0,5,0%,,,,,,,
+BACK,ESTEEM,,,,,,,,,,,,,,,,,,,,,,,,,,
+BACK,KRINZEN,,,,,,,,,,,,,,,,,,,,,,,,,,
+BACK,BETE,,,,,,,,,,,,,,,,,,,,,,,,,,

