Team Name,Player Name,Kills,Deaths,Damage Dealt,Damage Taken,SG Hits,SG Shots,SG acc,GL Hits,GL Shots,GL Acc,RL Hits,RL Shots,RL Acc,LG Hits,LG Shots,LG Acc,RG Hits,RG Shots,RG Acc,HMG Hits,HMG Shots,HMG Acc,PG Hits,PG Shots,PG Acc
THE COZY RANCH,cows,16,,5243,4120,0,20,0%,,,,2,2,100%,814,1785,46%,3,5,60%,8,16,50%,,,,
THE COZY RANCH,raul,14,,4503,3922,,,,,,,9,11,82%,706,1540,46%,0,1,0%,,,,,,,
THE COZY RANCH,psygib,17,,5403,4224,13,60,22%,0,3,0%,25,41,61%,638,1611,40%,3,7,43%,,,,1,11,9%,
THE COZY RANCH,ZOMBIE,,,,,,,,,,,,,,,,,,,,,,,,,,
THE COZY RANCH,CXT,,,,,,,,,,,,,,,,,,,,,,,,,,
THE COZY RANCH,apt,5,,3427,4553,12,40,30%,,,,6,8,75%,444,1132,39%,2,3,67%,,,,,,,
THE COZY RANCH,JEAN,,,,,,,,,,,,,,,,,,,,,,,,,,

+BACK,bentley,8,,3637,4338,,,,0,1,0%,43,59,73%,208,684,30%,1,1,100%,,,,,,,
+BACK,mb,16,,4425,4698,4,20,20%,,,,4,5,80%,685,1701,40%,3,9,33%,1,2,50%,,,,
+BACK,dj,14,,5510,4323,16,100,16%,0,1,0%,19,33,58%,663,1431,46%,8,10,80%,,,,,,,
+BACK,DRIVER8,,,,,,,,,,,,,,,,,,,,,,,,,,
+BACK,ESTEEM,,,,,,,,,,,,,,,,,,,,,,,,,,
+BACK,Krinzen,4,,3791,4728,,,,,,,34,42,81%,350,903,39%,0,1,0%,,,,,,,
+BACK,BETE,,,,,,,,,,,,,,,,,,,,,,,,,,

