Team Name,Player Name,Kills,Deaths,Damage Dealt,Damage Taken,SG Hits,SG Shots,SG acc,GL Hits,GL Shots,GL Acc,RL Hits,RL Shots,RL Acc,LG Hits,LG Shots,LG Acc,RG Hits,RG Shots,RG Acc,HMG Hits,HMG Shots,HMG Acc,PG Hits,PG Shots,PG Acc
THE COZY RANCH,cows,14,,4888,5493,9,20,45%,0,9,0%,32,59,54%,408,1133,36%,11,19,58%,,,,,,,
THE COZY RANCH,raul,18,,6928,4829,18,100,18%,0,23,0%,69,126,55%,123,325,38%,30,52,58%,,,,,,,
THE COZY RANCH,psygib,14,,5421,5218,7,40,18%,,,,52,81,64%,401,1067,38%,7,11,64%,,,,2,38,5%,
THE COZY RANCH,ZOMBIE,,,,,,,,,,,,,,,,,,,,,,,,,,
THE COZY RANCH,cxt,4,,4094,5587,,,,,,,57,95,60%,229,657,35%,3,6,50%,,,,,,,
THE COZY RANCH,APT,,,,,,,,,,,,,,,,,,,,,,,,,,
THE COZY RANCH,JEAN,,,,,,,,,,,,,,,,,,,,,,,,,,

+BACK,BENTLEY,,,,,,,,,,,,,,,,,,,,,,,,,,
+BACK,mb,24,,6429,4716,12,20,60%,,,,17,54,31%,736,1847,40%,14,30,47%,,,,,,,
+BACK,dj,12,,6144,5051,0,40,0%,0,4,0%,58,127,46%,358,843,42%,16,27,59%,0,2,0%,,,,
+BACK,driver8,9,,4730,5222,26,40,65%,,,,54,97,56%,242,805,30%,6,14,43%,,,,,,,
+BACK,ESTEEM,,,,,,,,,,,,,,,,,,,,,,,,,,
+BACK,Krinzen,8,,4659,5219,3,40,8%,,,,52,97,54%,330,876,38%,8,22,36%,,,,,,,
+BACK,BETE,,,,,,,,,,,,,,,,,,,,,,,,,,

